01,State-JAMMU KASHMIR,Rural,18,84024,35786,48238,8801,7543,1258,10645,6745,3900,4960,2587,2373,22835,7421,15414,5420,3563,1857,8263,3201,5062,3972,1280,2692,19128,3446,15682,
01,State-JAMMU KASHMIR,Rural,19,65328,28665,36663,8477,7279,1198,9444,5947,3497,4027,2102,1925,18841,6163,12678,3670,2311,1359,5654,2010,3644,2562,733,1829,12653,2120,10533,
01,State-JAMMU KASHMIR,Urban,5-19,183551,94620,88931,10830,9247,1583,5155,3176,1979,1662,883,779,31118,12838,18280,6741,4949,1792,5200,2804,2396,1516,680,836,121329,60043,61286,
01,State-JAMMU KASHMIR,Urban,5,39165,20896,18269,20,17,3,18,7,11,1,1,0,657,371,286,255,160,95,353,187,166,28,12,16,37833,20141,17692,
01,State-JAMMU KASHMIR,Urban,6,30223,16224,13999,23,13,10,23,9,14,0,0,0,750,407,343,220,147,73,313,162,151,27,13,14,28867,15473,13394,
01,State-JAMMU KASHMIR,Urban,7,11044,5679,5365,25,17,8,22,12,10,6,2,4,660,343,317,82,46,36,154,85,69,21,12,9,10074,5162,4912,
01,State-JAMMU KASHMIR,Urban,8,6795,3432,3363,47,30,17,22,11,11,5,1,4,599,311,288,108,67,41,102,57,45,24,8,16,5888,2947,2941,
01,State-JAMMU KASHMIR,Urban,9,4942,2571,2371,47,32,15,25,13,12,4,3,1,558,289,269,99,61,38,112,63,49,23,15,8,4074,2095,1979,
01,State-JAMMU KASHMIR,Urban,10,7547,3888,3659,67,47,20,34,16,18,8,5,3,803,418,385,165,108,57,183,92,91,34,16,18,6253,3186,3067,
01,State-JAMMU KASHMIR,Urban,11,5217,2737,2480,187,160,27,78,46,32,15,10,5,832,391,441,197,155,42,190,94,96,40,19,21,3678,1862,1816,
01,State-JAMMU KASHMIR,Urban,12,5587,2805,2782,318,256,62,135,85,50,34,19,15,1129,498,631,289,213,76,243,124,119,86,50,36,3353,1560,1793,
01,State-JAMMU KASHMIR,Urban,13,4874,2438,2436,342,283,59,132,81,51,34,17,17,1150,524,626,297,209,88,227,129,98,77,38,39,2615,1157,1458,
01,State-JAMMU KASHMIR,Urban,14,6162,3001,3161,481,376,105,193,114,79,76,45,31,1645,715,930,404,296,108,370,193,177,106,51,55,2887,1211,1676,
01,State-JAMMU KASHMIR,Urban,15,8444,4188,4256,771,652,119,461,292,169,132,72,60,2535,1052,1483,725,528,197,495,286,209,167,76,91,3158,1230,1928,
01,State-JAMMU KASHMIR,Urban,16,9664,4742,4922,1102,932,170,573,330,243,204,102,102,3287,1363,1924,763,568,195,524,291,233,169,76,93,3042,1080,1962,
01,State-JAMMU KASHMIR,Urban,17,10198,5058,5140,1369,1169,200,762,474,288,242,120,122,3778,1486,2292,727,558,169,485,276,209,199,85,114,2636,890,1746,
01,State-JAMMU KASHMIR,Urban,18,17972,8905,9067,2830,2428,402,1390,855,535,527,291,236,6734,2510,4224,1358,1025,333,848,449,399,320,134,186,3965,1213,2752,
01,State-JAMMU KASHMIR,Urban,19,15717,8056,7661,3201,2835,366,1287,831,456,374,195,179,6001,2160,3841,1052,808,244,601,316,285,195,75,120,3006,836,2170,
02,State-HIMACHAL PRADESH,Total,5-19,314058,160964,153094,50259,33684,16575,33849,15500,18349,15100,6433,8667,44649,17737,26912,7886,4773,3113,4456,1785,2671,3055,1263,1792,154804,79789,75015,
02,State-HIMACHAL PRADESH,Total,5,79725,41748,37977,50,32,18,26,12,14,22,8,14,1013,499,514,528,286,242,405,193,212,531,276,255,77150,40442,36708,
02,State-HIMACHAL PRADESH,Total,6,48881,25677,23204,39,21,18,32,16,16,34,15,19,1288,647,641,313,154,159,307,153,154,542,287,255,46326,24384,21942,
02,State-HIMACHAL PRADESH,Total,7,11588,5967,5621,103,66,37,48,24,24,29,17,12,1047,518,529,122,62,60,100,45,55,161,78,83,9978,5157,4821,
02,State-HIMACHAL PRADESH,Total,8,4317,2099,2218,77,47,30,37,18,19,48,15,33,795,396,399,79,44,35,68,32,36,96,36,60,3117,1511,1606,
02,State-HIMACHAL PRADESH,Total,9,4181,2092,2089,103,66,37,44,15,29,36,16,20,809,432,377,73,38,35,63,26,37,68,27,41,2985,1472,1513,
02,State-HIMACHAL PRADESH,Total,10,6069,3070,2999,138,83,55,77,30,47,63,22,41,877,471,406,160,79,81,102,33,69,104,32,72,4548,2320,2228,
02,State-HIMACHAL PRADESH,Total,11,4625,2231,2394,414,268,146,247,112,135,172,70,102,1045,489,556,156,80,76,126,41,85,76,27,49,2389,1144,1245,
02,State-HIMACHAL PRADESH,Total,12,4674,2192,2482,724,458,266,404,165,239,294,118,176,1335,592,743,267,159,108,180,65,115,136,43,93,1334,592,742,
02,State-HIMACHAL PRADESH,Total,13,5220,2439,2781,931,598,333,658,268,390,391,153,238,1488,676,812,301,157,144,191,65,126,124,50,74,1136,472,664,
02,State-HIMACHAL PRADESH,Total,14,7158,3281,3877,1631,969,662,1035,426,609,578,224,354,1985,800,1185,451,269,182,262,88,174,158,46,112,1058,459,599,
02,State-HIMACHAL PRADESH,Total,15,10907,5384,5523,2735,1774,961,1832,815,1017,1047,451,596,2779,1188,1591,771,459,312,388,153,235,201,69,132,1154,475,679,
02,State-HIMACHAL PRADESH,Total,16,14922,7637,7285,4444,2932,1512,3060,1429,1631,1437,635,802,3687,1520,2167,803,489,314,383,154,229,198,79,119,910,399,511,
02,State-HIMACHAL PRADESH,Total,17,22081,11369,10712,7175,4808,2367,4932,2323,2609,2211,965,1246,5591,2213,3378,779,504,275,413,174,239,176,66,110,804,316,488,
02,State-HIMACHAL PRADESH,Total,18,40910,21333,19577,14408,9861,4547,9506,4494,5012,3861,1671,2190,9374,3423,5951,1717,1129,588,767,314,453,259,70,189,1018,371,647,
02,State-HIMACHAL PRADESH,Total,19,48800,24445,24355,17287,11701,5586,11911,5353,6558,4877,2053,2824,11536,3873,7663,1366,864,502,701,249,452,225,77,148,897,275,622,
02,State-HIMACHAL PRADESH,Rural,5-19,287283,145048,142235,45476,29473,16003,33149,14985,18164,14905,6286,8619,39877,15559,24318,6539,3728,2811,4178,1607,2571,2949,1196,1753,140210,72214,67996,
02,State-HIMACHAL PRADESH,Rural,5,73325,38324,35001,47,30,17,26,12,14,22,8,14,887,423,464,495,269,226,373,174,199,523,270,253,70952,37138,33814,
02,State-HIMACHAL PRADESH,Rural,6,44130,23157,20973,34,19,15,31,15,16,34,15,19,1170,582,588,290,141,149,290,144,146,532,283,249,41749,21958,19791,
02,State-HIMACHAL PRADESH,Rural,7,10379,5352,5027,89,56,33,46,23,23,28,16,12,947,467,480,111,52,59,92,39,53,155,76,79,8911,4623,4288,
02,State-HIMACHAL PRADESH,Rural,8,3831,1852,1979,69,40,29,36,18,18,48,15,33,717,356,361,73,39,34,64,29,35,95,36,59,2729,1319,1410,
02,State-HIMACHAL PRADESH,Rural,9,3694,1831,1863,94,59,35,43,14,29,36,16,20,709,379,330,63,30,33,59,23,36,67,26,41,2623,1284,1339,
02,State-HIMACHAL PRADESH,Rural,10,5438,2722,2716,128,75,53,77,30,47,61,22,39,781,415,366,141,66,75,96,28,68,101,32,69,4053,2054,1999,
02,State-HIMACHAL PRADESH,Rural,11,4116,1960,2156,364,229,135,236,105,131,172,70,102,902,424,478,127,61,66,119,40,79,75,27,48,2121,1004,1117,
02,State-HIMACHAL PRADESH,Rural,12,4169,1890,2279,647,393,254,392,155,237,293,117,176,1174,505,669,238,137,101,169,60,109,136,43,93,1120,480,640,
02,State-HIMACHAL PRADESH,Rural,13,4753,2178,2575,856,537,319,644,256,388,385,151,234,1336,601,735,260,131,129,179,59,120,122,49,73,971,394,577,
02,State-HIMACHAL PRADESH,Rural,14,6539,2939,3600,1495,866,629,1011,408,603,573,220,353,1768,708,1060,382,221,161,252,85,167,153,42,111,905,389,516,
02,State-HIMACHAL PRADESH,Rural,15,9936,4808,5128,2477,1565,912,1790,786,1004,1034,443,591,2465,1046,1419,643,370,273,367,144,223,189,61,128,971,393,578,
